Labeled Percentage,Init Type,Downstream,Seeds,Test Loss,Test F1 Score
1.0,scratch,frozen,0,2.3269360173832285,0.017223666352884536
1.0,scratch,frozen,1,2.289970723065463,0.10367980278739004
1.0,scratch,frozen,2,2.235307227481495,0.03971721921931776
1.0,scratch,frozen,3,2.2762905142524024,0.008518467004652119
1.0,scratch,frozen,4,2.271340944550254,0.1573857881559012
1.0,scratch,finetune,0,2.234299735589461,0.163645733087791
1.0,scratch,finetune,1,2.2319241003556685,0.1383952911760746
1.0,scratch,finetune,2,2.2356689518148247,0.047096814302883865
1.0,scratch,finetune,3,2.2113171599128028,0.056329930650543404
1.0,scratch,finetune,4,2.2075746167789805,0.2150659277119419
1.0,pretrain,frozen,0,2.3047279986468228,0.008698790838750033
1.0,pretrain,frozen,1,2.3144298900257456,0.008515573994971477
1.0,pretrain,frozen,2,2.2859352827072144,0.008570149872751178
1.0,pretrain,frozen,3,2.273905461484736,0.033362296286366167
1.0,pretrain,frozen,4,2.346399502320723,0.008557059012456751
1.0,pretrain,finetune,0,2.2413209676742554,0.11645943971736356
1.0,pretrain,finetune,1,2.2725589058615943,0.03557318244908374
1.0,pretrain,finetune,2,2.2658296715129507,0.019894635777449723
1.0,pretrain,finetune,3,2.224297187545083,0.03826711794228334
1.0,pretrain,finetune,4,2.2807026234540073,0.029189987078091516
0.5,scratch,frozen,0,2.2945431904359297,0.07262147025869599
0.5,scratch,frozen,1,2.312944780696522,0.00698962301473523
0.5,scratch,frozen,2,2.3558922464197334,0.017178537406577984
0.5,scratch,frozen,3,2.39170457016338,0.008557059012456751
0.5,scratch,frozen,4,2.3267927061427724,0.013141043343944229
0.5,scratch,finetune,0,2.214764627543363,0.05894978420655
0.5,scratch,finetune,1,2.256150570782748,0.05573715874963727
0.5,scratch,finetune,2,2.272579399022189,0.04488967507744199
0.5,scratch,finetune,3,2.2865781675685537,0.19935650992074994
0.5,scratch,finetune,4,2.2946126461029053,0.010268388958579611
0.5,pretrain,frozen,0,2.3574054024436255,0.008512682949649809
0.5,pretrain,frozen,1,2.3346641063690186,0.008619042961271786
0.5,pretrain,frozen,2,2.361606381156228,0.011384302581588441
0.5,pretrain,frozen,3,2.3724254044619473,0.012917544404442188
0.5,pretrain,frozen,4,2.3612250956622036,0.008592057208826718
0.5,pretrain,finetune,0,2.265314719893716,0.007318087247905845
0.5,pretrain,finetune,1,2.2827798995104702,0.01133805454587091
0.5,pretrain,finetune,2,2.36563777923584,0.008653997889013935
0.5,pretrain,finetune,3,2.243296254764904,0.20943797547719037
0.5,pretrain,finetune,4,2.283213572068648,0.09829793185208649
0.25,scratch,frozen,0,2.2950245575471357,0.017741775208835943
0.25,scratch,frozen,1,2.3318818482485684,0.035168654756000325
0.25,scratch,frozen,2,2.3697839866984975,0.03548103664856578
