pretrain_dataset,downstream_dataset,epochs,backbone_init,head_type,finetune,seed,data_ratio,accuracy,f1
None,CWRU,100,random,linear,True,0,0.01,0.9559702844718246,0.9554344972824124
None,CWRU,100,random,linear,False,0,0.01,0.3219786193150933,0.26282698524753073
None,LASPI,100,random,linear,True,0,0.01,0.3735036751837592,0.3302899254581191
None,LASPI,100,random,linear,False,0,0.01,0.24067203360168007,0.1993768036277858
CWRU,CWRU,100,mae,linear,True,0,0.01,0.9822431599927524,0.9822137862088347
CWRU,CWRU,100,mae,linear,False,0,0.01,0.4602283022286646,0.4090079864090876
CWRU,LASPI,100,mae,linear,True,0,0.01,0.7172733636681834,0.7147852381526628
CWRU,LASPI,100,mae,linear,False,0,0.01,0.3204585229261463,0.2974171159122161
CWRU,CWRU,100,sap,linear,True,0,0.01,0.9938394636709549,0.9938216699289724
CWRU,CWRU,100,sap,linear,False,0,0.01,0.7611886211270158,0.6953436019456358
CWRU,LASPI,100,sap,linear,True,0,0.01,0.6469198459922996,0.6352918202015865
CWRU,LASPI,100,sap,linear,False,0,0.01,0.6059852992649633,0.5948991370554403
