pretrain_dataset,downstream_dataset,epochs,backbone_init,head_type,finetune,seed,data_ratio,accuracy,f1
,CWRU,100,random,linear,False,0,0.01,0.06740351512955245,0.008512682949649809
,CWRU,100,random,linear,False,0,0.01,0.06740351512955245,0.008512682949649809
,LASPI,100,random,linear,False,0,0.01,0.16667833391669584,0.047625238576221376
,LASPI,100,random,linear,False,0,0.01,0.16667833391669584,0.047625238576221376
CWRU,CWRU,100,mae,linear,True,0,0.01,0.45932234100380503,0.36558731163385866
CWRU,CWRU,100,mae,linear,False,0,0.01,0.0679470918644682,0.008646134865685638
CWRU,LASPI,100,mae,linear,True,0,0.01,0.16669583479173958,0.04763452565488095
CWRU,LASPI,100,mae,linear,False,0,0.01,0.16667833391669584,0.047625238576221376
CWRU,CWRU,100,sap,linear,True,0,0.01,0.5558978075738359,0.5337916859308034
CWRU,CWRU,100,sap,linear,False,0,0.01,0.06758470737452436,0.008557059012456751
CWRU,LASPI,100,sap,linear,True,0,0.01,0.16669583479173958,0.04763452565488095
CWRU,LASPI,100,sap,linear,False,0,0.01,0.16667833391669584,0.047625238576221376
,CWRU,100,random,linear,True,0,0.01,0.4326870809929335,0.3430590268479986
CWRU,CWRU,100,sap,linear,True,0,0.01,0.5558978075738359,0.5337916859308034
,CWRU,2,random,linear,True,0,0.01,0.06740351512955245,0.008512682949649809
,CWRU,2,random,linear,False,0,0.01,0.06740351512955245,0.008512682949649809
,CWRU,2,random,non-linear,True,0,0.01,0.08443558615691249,0.01314853238065872
,CWRU,2,random,non-linear,False,0,0.01,0.2395361478528719,0.09257909295760756
CWRU,CWRU,2,sap,linear,True,0,0.01,0.08443558615691249,0.01314853238065872
CWRU,CWRU,2,sap,linear,False,0,0.01,0.06758470737452436,0.008557059012456751
CWRU,CWRU,2,sap,non-linear,True,0,0.01,0.08443558615691249,0.01314853238065872
CWRU,CWRU,2,sap,non-linear,False,0,0.01,0.06740351512955245,0.008512682949649809
CWRU,CWRU,2,mae,linear,True,0,0.01,0.06758470737452436,0.008557059012456751
CWRU,CWRU,2,mae,linear,False,0,0.01,0.20329769885848886,0.06869447918061271
CWRU,CWRU,2,mae,non-linear,True,0,0.01,0.06758470737452436,0.008557059012456751
CWRU,CWRU,2,mae,non-linear,False,0,0.01,0.2395361478528719,0.09257909295760756
