,speed,fault,position,diameter,pearsonr
0,1797.0,OR,3,7,0.67043066
1,1797.0,OR,3,7,0.8309977
2,1797.0,OR,3,7,0.7539348
3,1797.0,OR,3,7,0.85379183
4,1797.0,B,,14,0.338819
5,1797.0,B,,14,0.35132337
6,1797.0,B,,14,0.3622096
7,1797.0,B,,14,0.21365015
8,1797.0,B,,14,0.32131737
9,1797.0,B,3,14,0.32721844
10,1797.0,OR,3,14,0.84110284
11,1797.0,OR,3,14,0.8819034
12,1797.0,OR,3,14,0.8708763
13,1797.0,OR,,14,0.84290767
14,1797.0,OR,3,14,0.7577377
15,1797.0,B,,21,0.30406782
16,1797.0,B,,21,0.47843727
17,1797.0,B,,21,0.5177233
18,1797.0,B,,21,0.36126506
19,1797.0,B,6,21,0.33774257
20,1797.0,OR,6,21,0.9600873
21,1797.0,OR,6,21,0.9572948
22,1797.0,OR,6,21,0.96131873
23,1797.0,OR,,21,0.888437
24,1797.0,OR,6,21,0.96617824
25,1797.0,B,,7,0.31986722
26,1797.0,B,,7,0.31354788
27,1797.0,B,,7,0.29686588
28,1797.0,B,,7,0.30694008
29,1797.0,IR,,21,0.9315442
30,1797.0,IR,,21,0.93244016
31,1797.0,IR,,21,0.9363638
32,1797.0,IR,,21,0.92638206
33,1797.0,Normal,,,0.9385075
34,1797.0,Normal,,,0.94283706
35,1797.0,Normal,,,0.9326142
36,1797.0,Normal,,,0.9407044
37,1797.0,Normal,,,0.9429834
38,1797.0,Normal,,,0.94421464
39,1797.0,Normal,,,0.9484384
40,1797.0,Normal,,,0.9429075
41,1797.0,Normal,6,,0.9400567
42,1797.0,OR,6,7,0.93741125
43,1797.0,OR,6,7,0.86916506
44,1797.0,OR,6,7,0.9302255
45,1797.0,OR,,7,0.9422116
46,1797.0,OR,6,7,0.94063294
47,1797.0,IR,,14,0.93814075
48,1797.0,IR,,14,0.9316095
49,1797.0,IR,,14,0.9353089
50,1797.0,IR,,14,0.93113804
51,1797.0,IR,6,14,0.92897135
52,1797.0,OR,6,14,0.9614279
53,1797.0,OR,6,14,0.8549622
54,1797.0,OR,6,14,0.95126355
55,1797.0,OR,6,14,0.9511895
56,1797.0,OR,12,14,0.95631725
57,1797.0,OR,12,7,0.9048891
58,1797.0,OR,12,7,0.86205804
59,1797.0,OR,12,7,0.81752276
60,1797.0,OR,,7,0.8102241
61,1797.0,OR,12,7,0.7522354
62,1797.0,IR,,7,0.9218408
63,1797.0,IR,,7,0.93024683
64,1797.0,IR,,7,0.934466
65,1797.0,IR,,7,0.9149238
66,1730.0,B,,14,0.37461352
67,1730.0,B,,14,0.36280447
68,1730.0,B,,14,0.33292052
69,1730.0,B,,14,0.34026802
70,1730.0,B,3,14,0.32361805
71,1730.0,OR,3,7,0.8577072
72,1730.0,OR,3,7,0.84653413
73,1730.0,OR,3,7,0.8820411
74,1730.0,OR,3,7,0.8632467
75,1730.0,OR,3,14,0.9335401
76,1730.0,OR,3,14,0.9390086
77,1730.0,OR,3,14,0.8801867
78,1730.0,OR,3,14,0.9364868
79,1730.0,OR,3,21,0.89755946
80,1730.0,OR,3,21,0.8863838
81,1730.0,OR,3,21,0.83368313
82,1730.0,OR,,21,0.8820917
83,1730.0,OR,3,21,0.8154826
84,1730.0,IR,,7,0.93561023
85,1730.0,IR,,7,0.9292537
86,1730.0,IR,,7,0.943401
87,1730.0,IR,,7,0.93337566
88,1730.0,Normal,,,0.9073406
89,1730.0,Normal,,,0.91372883
90,1730.0,Normal,,,0.91143566
91,1730.0,Normal,,,0.9202659
92,1730.0,Normal,,,0.9115439
93,1730.0,Normal,,,0.9133958
94,1730.0,Normal,,,0.9127345
95,1730.0,Normal,,,0.9116286
96,1730.0,Normal,,,0.9122848
97,1730.0,Normal,,,0.907232
98,1730.0,Normal,,,0.90365016
99,1730.0,Normal,,,0.9060632
100,1730.0,Normal,,,0.9150058
101,1730.0,Normal,,,0.9091792
102,1730.0,Normal,,,0.9102773
103,1730.0,Normal,,,0.90928125
104,1730.0,Normal,,,0.9078295
105,1730.0,Normal,,,0.90757054
106,1730.0,IR,,14,0.9050145
107,1730.0,IR,,14,0.90276694
108,1730.0,IR,,14,0.9013051
109,1730.0,IR,,14,0.89759445
110,1730.0,IR,12,14,0.897942
111,1730.0,OR,12,7,0.8004354
112,1730.0,OR,12,7,0.8228517
113,1730.0,OR,12,7,0.81903684
114,1730.0,OR,,7,0.8483932
115,1730.0,OR,12,7,0.84415287
116,1730.0,B,,7,0.3021736
117,1730.0,B,,7,0.30606315
118,1730.0,B,,7,0.31988952
119,1730.0,B,,7,0.28894997
120,1730.0,B,,21,0.2717935
121,1730.0,B,,21,0.36443987
122,1730.0,B,,21,0.33610177
123,1730.0,B,,21,0.2877844
124,1730.0,B,6,21,0.3051448
125,1730.0,OR,6,7,0.9234961
126,1730.0,OR,6,7,0.91080153
127,1730.0,OR,6,7,0.89275724
128,1730.0,OR,,7,0.90511024
129,1730.0,OR,6,7,0.91497195
130,1730.0,IR,,21,0.90796685
131,1730.0,IR,,21,0.91046405
132,1730.0,IR,,21,0.84313893
133,1730.0,IR,,21,0.87097037
134,1730.0,IR,3,21,0.89678127
135,1772.0,OR,3,14,0.89052624
136,1772.0,OR,3,14,0.8953624
137,1772.0,OR,3,14,0.89598274
138,1772.0,OR,3,14,0.89674234
139,1772.0,OR,12,14,0.8749751
140,1772.0,OR,12,7,0.8147494
141,1772.0,OR,12,7,0.88756454
142,1772.0,OR,12,7,0.8407316
143,1772.0,OR,3,7,0.868356
144,1772.0,OR,12,7,0.8648627
145,1772.0,OR,3,7,0.78576434
146,1772.0,OR,3,7,0.78487134
147,1772.0,OR,3,7,0.79201645
148,1772.0,OR,,7,0.8057835
149,1772.0,OR,3,7,0.8102443
150,1772.0,B,,21,0.33258885
151,1772.0,B,,21,0.5336951
152,1772.0,B,,21,0.5920578
153,1772.0,B,,21,0.28954482
154,1772.0,B,6,21,0.3214909
155,1772.0,OR,6,7,0.9106386
156,1772.0,OR,6,7,0.8647741
157,1772.0,OR,6,7,0.8949535
158,1772.0,OR,,7,0.8971114
159,1772.0,OR,6,7,0.91218513
160,1772.0,B,,14,0.29459968
161,1772.0,B,,14,0.31474015
162,1772.0,B,,14,0.20558792
163,1772.0,B,,14,0.3264754
164,1772.0,Normal,,,0.9109837
165,1772.0,Normal,,,0.9104463
166,1772.0,Normal,,,0.90197885
167,1772.0,Normal,,,0.9046819
168,1772.0,Normal,,,0.9038022
169,1772.0,Normal,,,0.9079245
170,1772.0,Normal,,,0.9086297
171,1772.0,Normal,,,0.905033
172,1772.0,Normal,,,0.9071873
173,1772.0,Normal,,,0.90315086
174,1772.0,Normal,,,0.90150315
175,1772.0,Normal,,,0.90827155
176,1772.0,Normal,,,0.90208924
177,1772.0,Normal,,,0.8966149
178,1772.0,Normal,,,0.8999525
179,1772.0,Normal,,,0.90343153
180,1772.0,Normal,,,0.90274817
181,1772.0,Normal,,,0.90235704
182,1772.0,B,,7,0.14837974
183,1772.0,B,,7,0.4400279
184,1772.0,B,,7,0.27358806
185,1772.0,B,,7,0.28199568
186,1772.0,B,3,7,0.26072034
187,1772.0,OR,3,21,0.8903986
188,1772.0,OR,3,21,0.86666846
189,1772.0,OR,3,21,0.8871432
190,1772.0,OR,,21,0.83004665
191,1772.0,OR,3,21,0.88495183
192,1772.0,IR,,7,0.9080968
193,1772.0,IR,,7,0.9263555
194,1772.0,IR,,7,0.91349673
195,1772.0,IR,,7,0.92680097
196,1772.0,IR,,14,0.90068245
197,1772.0,IR,,14,0.9143026
198,1772.0,IR,,14,0.9122328
199,1772.0,IR,,14,0.89427984
200,1772.0,IR,,21,0.9268899
201,1772.0,IR,,21,0.8659382
202,1772.0,IR,,21,0.9203363
203,1772.0,IR,,21,0.92050123
204,1750.0,B,,7,0.29836094
205,1750.0,B,,7,0.2973919
206,1750.0,B,,7,0.40044585
207,1750.0,B,,7,0.31039068
208,1750.0,B,6,7,0.31766176
209,1750.0,OR,6,7,0.8903239
210,1750.0,OR,6,7,0.898998
