Labeled Percentage,Init Type,Downstream,Test Loss,Test F1 Score
1.0,scratch,frozen,1.0143685151230206,0.3696550870649591
1.0,scratch,finetune,0.0015933320828273943,0.999818825040906
1.0,pretrain,frozen,0.7779270627281882,0.5612346827851825
1.0,pretrain,finetune,0.0011926956302555811,0.9996376845577924
0.5,scratch,frozen,1.060848599130457,0.32536106272084675
0.5,scratch,finetune,0.0009907626557502556,1.0
0.5,pretrain,frozen,0.8625947372479872,0.5276875215291723
0.5,pretrain,finetune,0.0012460800882598216,1.0
0.25,scratch,frozen,1.134401175108823,0.27304754882543913
0.25,scratch,finetune,0.025504215705123814,1.0
0.25,pretrain,frozen,0.9737394777211276,0.3939470848854027
0.25,pretrain,finetune,0.022077757441862064,0.999456578407114
0.2,scratch,frozen,1.261339854110371,0.33818016518217126
0.2,scratch,finetune,0.04250903766263615,0.9998187904212233
0.2,pretrain,frozen,1.0218317806720734,0.33730927422658324
0.2,pretrain,finetune,0.04773564941503785,0.998550015049161
0.15,scratch,frozen,1.2799787683920427,0.419256555019022
0.15,scratch,finetune,0.37174435501748865,0.8060824056195738
0.15,pretrain,frozen,1.0977445190603083,0.2907636595317506
0.15,pretrain,finetune,0.17912169952284207,0.9882713816741672
0.1,scratch,frozen,1.2952804944731973,0.23336992616317984
0.1,scratch,finetune,0.7670565274628726,0.4755946124464027
0.1,pretrain,frozen,1.2252335873517124,0.4732340794765411
0.1,pretrain,finetune,0.6558531793681058,0.6187976662007081
0.05,scratch,frozen,1.407544125210155,0.0685116961847085
0.05,scratch,finetune,0.8471109135584398,0.46211594737927664
0.05,pretrain,frozen,1.3138159079985186,0.31799352286415106
0.05,pretrain,finetune,0.861417369409041,0.4669152253083799
