epoch,train_loss,valid_loss
1,1.1207575003676798e-05,7.479606545362996e-06
2,5.96294949711142e-06,4.104165811085473e-06
3,4.348610615391805e-06,3.7981922444999524e-06
4,3.7948239443026543e-06,3.4291077990824357e-06
5,3.4730011991427562e-06,2.7622546341085216e-06
6,3.292913039914244e-06,2.631383233750674e-06
7,3.154572550381044e-06,2.6152761439993025e-06
8,3.0201653440690632e-06,2.9447197780375544e-06
9,2.9450004924289352e-06,2.7043811968170127e-06
10,2.8438103322602297e-06,2.463829648787532e-06
11,2.759372284931294e-06,2.36501008051467e-06
12,2.6930369557805504e-06,2.526974548732403e-06
13,2.654243415299332e-06,2.282909251554319e-06
14,2.5819219386292557e-06,2.2448083296987388e-06
15,2.537683123440708e-06,2.235086286084137e-06
16,2.4938333933337742e-06,2.383066661705329e-06
17,2.452526330804829e-06,2.0254053122792764e-06
18,2.41241986449035e-06,2.0188547923367127e-06
19,2.3687318953904077e-06,2.0189373093797193e-06
20,2.327695224933987e-06,1.965931355750828e-06
21,2.2829448299493254e-06,2.0567107837408933e-06
22,2.2461597601534543e-06,1.7646448462063295e-06
23,2.2265320085458215e-06,2.0388060358956194e-06
24,2.1865534680162797e-06,1.933752163045708e-06
25,2.1722698379229043e-06,1.745286348178242e-06
26,2.1360512077481104e-06,1.8420327115177053e-06
27,2.1107886079728297e-06,1.7941613677244644e-06
28,2.10056792554802e-06,1.8592544079340235e-06
29,2.070274415007968e-06,1.7863435786416997e-06
30,2.0597696950174896e-06,1.716886884779164e-06
31,2.0434382796622907e-06,1.6171509626986535e-06
32,2.023623293295001e-06,1.7646473015806754e-06
33,1.9985049638725705e-06,1.7093285460477687e-06
34,1.989625063189935e-06,1.5892618212196743e-06
35,1.9796787268570864e-06,1.605853674260581e-06
36,1.9597359038107596e-06,1.6154135089724234e-06
37,1.94858517087487e-06,1.639470146931243e-06
38,1.9249007366652153e-06,1.6617210484969553e-06
39,1.9208975114578604e-06,1.6399385674111695e-06
40,1.8991692699849595e-06,1.6087919079680057e-06
41,1.9019986044110797e-06,1.6203274827111974e-06
42,1.8816066029131332e-06,1.640327676294215e-06
43,1.8762886737050292e-06,1.669603328071849e-06
44,1.8664993612812858e-06,1.5639793144240182e-06
45,1.85629150001031e-06,1.4574865726063272e-06
46,1.8389869183010887e-06,1.4873697276423878e-06
47,1.8305429315814657e-06,1.5150209304104872e-06
48,1.8230144801096285e-06,1.5162639306776975e-06
49,1.8184903604670093e-06,1.4661104680125464e-06
50,1.808977880760462e-06,1.52555106398785e-06
51,1.8022067254071887e-06,1.5334609211147355e-06
52,1.7954390802996348e-06,1.5137156264893423e-06
53,1.7862698957768733e-06,1.45818731017902e-06
54,1.774621944457829e-06,1.465783832006947e-06
55,1.7737280595295041e-06,1.5123873735079207e-06
56,1.76990404779504e-06,1.4384060571909027e-06
57,1.756010762556345e-06,1.4843489422632068e-06
58,1.7563715709999565e-06,1.4760706437363264e-06
59,1.7471873449184628e-06,1.4525140815080129e-06
60,1.742729410109519e-06,1.4493626804062518e-06
61,1.7401471299111822e-06,1.4331476998857648e-06
62,1.7311412661876047e-06,1.4713241111083375e-06
63,1.7279782194124389e-06,1.4198071492752081e-06
64,1.7225893671754094e-06,1.4465265119975687e-06
65,1.7183101335901682e-06,1.3996662616967835e-06
66,1.7160671155460229e-06,1.4227144516689281e-06
67,1.7112131440784419e-06,1.4062441161367206e-06
68,1.707192444677395e-06,1.428049196075053e-06
69,1.7082862786360256e-06,1.4112810029881326e-06
70,1.7019421861328723e-06,1.3946197539333862e-06
71,1.6961958293936503e-06,1.4334752623737545e-06
72,1.6930118394399332e-06,1.4476934786383852e-06
73,1.689588674107443e-06,1.395046551963254e-06
74,1.6839394399458977e-06,1.3827905639839722e-06
75,1.6824128925940504e-06,1.3853919756064865e-06
76,1.6820037277393285e-06,1.4030034774010743e-06
77,1.681132634388295e-06,1.4289605339410168e-06
78,1.6762972197730367e-06,1.3991117998818805e-06
79,1.6722424399989743e-06,1.390616814242303e-06
80,1.6736489274660075e-06,1.3879862164643804e-06
81,1.6718270471685883e-06,1.3916657517308951e-06
82,1.6686699935333408e-06,1.3639900226609887e-06
83,1.6682138141233497e-06,1.3837801967990042e-06
84,1.6673608325340847e-06,1.3877872945535084e-06
85,1.664811661542244e-06,1.3709125363905398e-06
86,1.657990221710545e-06,1.3724211927423646e-06
87,1.6644420880190223e-06,1.3729930323091234e-06
88,1.6597393880821358e-06,1.3790481971384372e-06
89,1.6607400280236985e-06,1.3946057260230075e-06
90,1.6565422376698527e-06,1.4082074264071456e-06
91,1.6567359833054322e-06,1.3793884624971107e-06
92,1.65906415761943e-06,1.3718962895052693e-06
93,1.6575175144729705e-06,1.3675015137537805e-06
94,1.6536068540545682e-06,1.3720787509994588e-06
95,1.6563869265253842e-06,1.3694054043570624e-06
96,1.655399350474417e-06,1.373200384033675e-06
97,1.654088776510178e-06,1.374252195708469e-06
98,1.6561388223403968e-06,1.3791429420502256e-06
99,1.6568502578909366e-06,1.3753988313531398e-06
100,1.6578085205150568e-06,1.3761391718010902e-06
