pretrain_dataset,downstream_dataset,epochs,backbone_init,head_type,finetune,seed,data_ratio,accuracy,f1
CWRU,LASPI,50,random,linear,True,0,0.01,0.6730510752688172,0.6707906701232157
CWRU,LASPI,50,random,linear,True,0,0.2,0.5815272177419355,0.5490104953416474
CWRU,LASPI,50,sap,linear,True,0,0.2,0.5250756048387096,0.49920948397122034
CWRU,LASPI,50,mae,linear,True,0,0.2,0.4,0.6387348790322581,0.6230823104740717
CWRU,LASPI,50,sap,linear,False,0,0.2,0.661122311827957,0.5552678336588948
CWRU,LASPI,50,mae,linear,False,0,0.2,0.4,0.24806787634408603,0.1562239231058713
CWRU,CWRU,50,random,linear,True,0,0.2,0.8082621082621083,0.7843751598921799
CWRU,LASPI,50,sap,linear,False,0,0.01,0.6092489919354839,0.5627720477423129
CWRU,LASPI,50,sap,linear,True,0,0.01,0.8550067204301075,0.8511147143362301
CWRU,LASPI,50,sap,linear,True,0,0.21,0.4418682795698925,0.3413932813450182
CWRU,LASPI,5,sap,linear,True,0,0.2,0.9558971774193549,0.9558404098603184
CWRU,LASPI,10,sap,linear,True,0,0.2,0.939474126344086,0.9386526781367103
CWRU,LASPI,5,random,linear,True,0,0.2,0.9675319220430108,0.9673349721522161
CWRU,LASPI,5,random,linear,True,0,0.01,0.6102150537634409,0.5915115586306215
CWRU,LASPI,5,sap,linear,True,0,0.01,0.7606266801075269,0.7482683070184749
CWRU,LASPI,5,sap,linear,False,0,0.01,0.2584425403225806,0.1864224283708616
CWRU,LASPI,5,mae,linear,True,0,0.01,0.4,0.6268901209677419,0.6165290438229563
CWRU,LASPI,5,mae,linear,False,0,0.01,0.4,0.17426915322580644,0.07071355131052055
CWRU,LASPI,5,random,linear,True,4,0.01,0.614289314516129,0.5804390405508297
CWRU,LASPI,5,sap,linear,True,4,0.01,0.6678007392473119,0.6046327048357324
CWRU,LASPI,5,sap,linear,False,4,0.01,0.19724462365591397,0.11138415907932772
CWRU,LASPI,5,mae,linear,True,4,0.01,0.4,0.610299059139785,0.5627652447899181
CWRU,LASPI,5,mae,linear,False,4,0.01,0.4,0.1733450940860215,0.06890435931711596
CWRU,LASPI,5,random,linear,True,8,0.01,0.5972782258064516,0.5828326093197904
CWRU,LASPI,5,sap,linear,True,8,0.01,0.6909442204301075,0.6894711449906632
CWRU,LASPI,5,sap,linear,False,8,0.01,0.22106014784946237,0.1486418023103995
CWRU,LASPI,5,mae,linear,True,8,0.01,0.4,0.5473370295698925,0.47978823661294084
